"","Name","ratings","Price"
"1","Leather Wallet for Men I Ultra Strong Stitching I 6 Credit Card Slots I 2 Currency Compartments I 1 Coin Pocket","38,723","299"
"2","Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls","7,319","679"
"3","Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black","1,600","1,199"
"4","Wallet for Men | Wallet and Belt combo | Gif Set for Men","8,017","949"
"5","Leather Wallet for Men I Handcrafted I Credit/Debit Card Slots I 2 Currency Compartments I 2 Secret Compartments (Tan Crunch)","33,489","299"
"6","Rakhi Gift Hamper for Brother - Classic Black Men's Leather Wallet, Black Keyring and Rakhi Combo Gift Set for Brother - 4558","777","599"
"7","Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue","1,106","1,199"
"8","Genuine Green Full Grain Leather RFID Blocking Bi fold Wallet & Leather Journal Diary with Designer Leather Key Ring & Metallic Black Pen Combo Gift Box for Men (WPKD-23GR)","41","1,149"
"9","Brown Leather Wallet for Men I 8 Credit Card Slots I 2 Currency Compartments I 1 Coin Pocket I 1 Transparent ID Window","6,434","299"
"10","Marty Grey Leather Wallet + Pen + Keyring Combo Gift Set for Men","1,122","499"
"11","American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK)","56,879","999"
"12","EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)","91","689"
"13","Small Size 15 Ltrs Unisex Casual Backpack - Sea Blue","21,516","321"
"14","Gift Hamper for Men I Leather Wallet, Keychain & Pen Combo Gift Set I Gift for Friend, Boyfriend,Husband,Father, Son etc","8,110","639"
"15","55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment","6,041","849"
"16","George Black Leather Wallet for Men","187","349"
"17","Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Navy-Tan)","6,914","899"
"18","35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","17,908","699"
"19","Men’s Money Clip Cash Wallet with Card Holders - Genuine Leather, Slim and Minimalist Design (Olive)","2","649"
"20","15 Ltrs Casual/School/College Backpack- Cherry Red Small","6,917","315."
"21","Black Men's Wallet (6)","3,037","639"
"22","Genuine Full Grain Brown Leather Bifold Wallet & Leather Journal Diary with Genuine Brown Leather Designer Key Ring & Metallick Black Pen Combo Gift Box for Men (WPKD-2001BR)","2","1,149"
"23","Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment","190","649"
"24","Maroon Leather Wallet for Men I Handcrafted I 4 Credit/Debit Card Slots I 2 Currency Compartments I 1 Transparent ID Window","12,038","299"
"25","ELK Vintage Brown Leather Wallet & Black/Brown Reversible Belt Combo Gift Box for Men","332","999"
"26","Blue Leather Wallet and Blue Keychain Combo Gift Box","219","699"
"27","Personalized Men's Wallet with Photo Engraving | Finest Handcrafted Leather Wallet | RFID-Protected Leather Wallet | Wallet Gifts for Men | Brown","30","1,700"
"28","40L Weekender Travel Laptop Backpack with Anti Theft Pocket, Organizer, 15.6 Inch Padded Laptop Sleeve and Dual Handles","1,349","1,229"
